[associate]
abusive        =бранный, оскорбительный
adorable       =обожаемой
adorable       =обожаемый, очаровательный
adverse        =враждебный,неблагоприятный, вредный, противоположный
amusing        =забавный, занимательный
anticipated    =предпологаемый, прогнозируемый
artificial     =искусственный, поддельный, деланный
attractive     =привлекательный, притягаельный
avid           =жадный, алчный
awesome        =потрясающий, фантастический
awful          =ужастный, отвратительный
awkward        =неуклюжий, неловкий
calm           =спокойный, спокойствие, успокаивать
concerned      =заинтересованный, интересующийся
cozy           =уютный, удобный
decent         =приличный, подходящий
engaging       =притягательный, привлекательный
enormous       =гиганский, чудовищный
exasperated    =сердитый, разгневанный
excellent      =отличный, отменный, превосходный
exciting       =возбуждающий, волнующий
exhausted      =истощенный, изнуренный
fabulous       =сказачный, изумительный
fair           =честный, порядочный
fascinating    =обворожительный
feasible       =выполнимый допустимый
flimsy         =хрупкий,неосновательный,незначительный
frugal         =бережливый экономный
greedy         =жадный прожорливый
guilty         =виновный
hilarious      =веселый, шумный
inexpensive    =недорогой, дешевый
injured        =обиженный, оскорбленный
insane         =ненормальный, безумный, абсурдный
marvelous      =изумительный, удивительный
mature         =зрелый? готовый
nonchalance,insouciance  =безразличие индифферентность
overwhelming   =огромный, непомерный
picky          =разборчивый
profound       =глубокий, основательный
prohibited     =запрещенный
proper         =подходящий, правильный
ridiculous     =нелепый, смехотворный
shy            =робкий, застенчивый, швырять(резко, быстро)
significant    =значительный, важный
silly          =глупый, дурацкий
smooth         =гладкий, ровный, плавный
snazzy         =броский, шикарный
strict         =строгий, жесткий, требовательный
subtle         =хитрый, коварный, ловкий
vivid          =яркий, живой
yummy          =вкусный, аппетитный
