[associate]
advantage       =преимущество
assurance       =гарантия, обещание, страховка
charity         =благотворительность
collage         =коллаж
colleague       =коллега
competition     =соревнования,состязания
consequence     =последствие. результат
contradiction   =противоречие, конфликт
detour          =обходной путь,обход
effort          =усилие, достижение
entrepreneur    =предприниматель, бизнесмен
exaggeration    =гиперболизаци, преувеличение
gosh            =боже, черт возьми
impression      =впечатление, представление (понятие)
liability       =обязательство
moron           =болван, идиот
objection       =возражение, неодобрение
obsession       =навязчивая идея. одержимость
origin          =начало, источник, происхождение
rumor           =молва. слухи
slum            =трущебы
tissue          =ткань, материя
trial           =испытание
